subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
07NN,practice,1,1,537,775,510,none,none
07NN,practice,1,1,543,773,506,none,none
07NN,practice,1,1,554,770,500,none,none
07NN,practice,1,1,570,762,482,none,none
07NN,practice,1,1,587,759,473,none,none
07NN,practice,1,1,604,759,469,none,none
07NN,practice,1,1,620,760,467,none,none
07NN,practice,1,1,873,742,458,none,none
07NN,practice,1,1,878,713,442,none,none
07NN,practice,1,1,885,694,431,none,none
07NN,practice,1,1,893,680,420,none,none
07NN,practice,1,1,906,670,411,none,none
07NN,practice,1,1,923,645,393,none,none
07NN,practice,1,1,940,638,388,none,none
07NN,practice,1,1,957,632,382,left-top,A_prob
07NN,practice,1,1,973,630,380,left-top,A_prob
07NN,practice,1,1,990,628,378,left-top,A_prob
07NN,practice,1,1,1006,625,376,left-top,A_prob
07NN,practice,1,1,1023,624,374,left-top,A_prob
07NN,practice,1,1,1040,620,371,left-top,A_prob
07NN,practice,1,1,1056,617,368,left-top,A_prob
07NN,practice,1,1,1073,612,365,left-top,A_prob
07NN,practice,1,1,1089,607,360,left-top,A_prob
07NN,practice,1,1,1106,603,355,left-top,A_prob
07NN,practice,1,1,1123,600,350,left-top,A_prob
07NN,practice,1,1,1139,598,346,left-top,A_prob
07NN,practice,1,1,1156,595,343,left-top,A_prob
07NN,practice,1,1,1173,593,339,left-top,A_prob
07NN,practice,1,1,1189,592,339,left-top,A_prob
07NN,practice,1,1,1206,592,338,left-top,A_prob
07NN,practice,1,1,1223,591,337,left-top,A_prob
07NN,practice,1,1,1306,592,337,left-top,A_prob
07NN,practice,1,1,1325,593,337,left-top,A_prob
07NN,practice,1,1,1340,594,337,left-top,A_prob
07NN,practice,1,1,1347,596,338,left-top,A_prob
07NN,practice,1,1,1356,600,338,left-top,A_prob
07NN,practice,1,1,1373,612,339,left-top,A_prob
07NN,practice,1,1,1390,650,339,left-top,A_prob
07NN,practice,1,1,1407,696,338,none,none
07NN,practice,1,1,1423,765,338,none,none
07NN,practice,1,1,1440,804,338,none,none
07NN,practice,1,1,1457,841,338,none,none
07NN,practice,1,1,1473,878,339,right-top,B_prob
07NN,practice,1,1,1490,897,339,right-top,B_prob
07NN,practice,1,1,1506,909,339,right-top,B_prob
07NN,practice,1,1,1523,920,339,right-top,B_prob
07NN,practice,1,1,1540,927,339,right-top,B_prob
07NN,practice,1,1,1556,937,339,right-top,B_prob
07NN,practice,1,1,1573,946,339,right-top,B_prob
07NN,practice,1,1,1590,953,339,right-top,B_prob
07NN,practice,1,1,1606,964,337,right-top,B_prob
07NN,practice,1,1,1623,972,336,right-top,B_prob
07NN,practice,1,1,1639,978,336,right-top,B_prob
07NN,practice,1,1,1656,983,334,right-top,B_prob
07NN,practice,1,1,1673,984,334,right-top,B_prob
07NN,practice,1,1,1844,984,335,right-top,B_prob
07NN,practice,1,1,1865,984,336,right-top,B_prob
07NN,practice,1,1,1892,983,337,right-top,B_prob
07NN,practice,1,1,1926,982,338,right-top,B_prob
07NN,practice,1,1,1949,981,338,right-top,B_prob
07NN,practice,1,1,1955,981,339,right-top,B_prob
07NN,practice,1,1,1963,979,340,right-top,B_prob
07NN,practice,1,1,1978,977,341,right-top,B_prob
07NN,practice,1,1,1995,976,342,right-top,B_prob
07NN,practice,1,1,2011,974,343,right-top,B_prob
07NN,practice,1,1,2031,973,343,right-top,B_prob
07NN,practice,1,1,2045,973,344,right-top,B_prob
07NN,practice,1,1,2061,972,344,right-top,B_prob
07NN,practice,1,1,2078,971,345,right-top,B_prob
07NN,practice,1,1,2095,967,350,right-top,B_prob
07NN,practice,1,1,2112,964,353,right-top,B_prob
07NN,practice,1,1,2128,961,356,right-top,B_prob
07NN,practice,1,1,2145,956,361,right-top,B_prob
07NN,practice,1,1,2161,950,364,right-top,B_prob
07NN,practice,1,1,2178,937,371,right-top,B_prob
07NN,practice,1,1,2195,906,381,right-top,B_prob
07NN,practice,1,1,2212,883,388,none,none
07NN,practice,1,1,2228,847,394,none,none
07NN,practice,1,1,2245,830,395,none,none
07NN,practice,1,1,2262,809,395,none,none
07NN,practice,1,1,2278,784,396,none,none
07NN,practice,1,1,2295,764,396,none,none
07NN,practice,1,1,2311,740,396,none,none
07NN,practice,1,1,2328,713,392,none,none
07NN,practice,1,1,2345,694,388,none,none
07NN,practice,1,1,2362,675,384,none,none
07NN,practice,1,1,2378,667,381,none,none
07NN,practice,1,1,2395,658,377,none,none
07NN,practice,1,1,2412,648,372,left-top,A_prob
07NN,practice,1,1,2428,643,370,left-top,A_prob
07NN,practice,1,1,2445,639,367,left-top,A_prob
07NN,practice,1,1,2461,637,367,left-top,A_prob
07NN,practice,1,1,2478,635,365,left-top,A_prob
07NN,practice,1,1,2495,635,364,left-top,A_prob
07NN,practice,1,1,2512,634,364,left-top,A_prob
07NN,practice,1,1,2528,633,363,left-top,A_prob
07NN,practice,1,1,2545,633,362,left-top,A_prob
07NN,practice,1,1,2562,632,362,left-top,A_prob
07NN,practice,1,1,2578,632,361,left-top,A_prob
07NN,practice,1,1,3313,632,366,left-top,A_prob
07NN,practice,1,1,3320,632,374,left-top,A_prob
07NN,practice,1,1,3329,633,387,left-top,A_prob
07NN,practice,1,1,3346,633,420,none,none
07NN,practice,1,1,3362,629,488,none,none
07NN,practice,1,1,3379,628,517,none,none
07NN,practice,1,1,3396,625,559,none,none
07NN,practice,1,1,3413,623,588,none,none
07NN,practice,1,1,3429,621,615,none,none
07NN,practice,1,1,3446,618,650,left-bottom,A_amount
07NN,practice,1,1,3463,617,667,left-bottom,A_amount
07NN,practice,1,1,3479,615,682,left-bottom,A_amount
07NN,practice,1,1,3496,614,693,left-bottom,A_amount
07NN,practice,1,1,3512,613,696,left-bottom,A_amount
07NN,practice,1,1,3529,612,698,left-bottom,A_amount
07NN,practice,1,1,3557,611,698,left-bottom,A_amount
07NN,practice,1,1,3593,610,698,left-bottom,A_amount
07NN,practice,1,1,3859,611,698,left-bottom,A_amount
07NN,practice,1,1,3864,614,698,left-bottom,A_amount
07NN,practice,1,1,3873,618,698,left-bottom,A_amount
07NN,practice,1,1,3878,624,697,left-bottom,A_amount
07NN,practice,1,1,3893,645,695,left-bottom,A_amount
07NN,practice,1,1,3911,678,694,none,none
07NN,practice,1,1,3927,766,704,none,none
07NN,practice,1,1,3944,813,710,none,none
07NN,practice,1,1,3960,859,717,none,none
07NN,practice,1,1,3977,906,724,right-bottom,B_amount
07NN,practice,1,1,3994,925,728,right-bottom,B_amount
07NN,practice,1,1,4011,940,731,right-bottom,B_amount
07NN,practice,1,1,4027,957,734,right-bottom,B_amount
07NN,practice,1,1,4044,964,736,right-bottom,B_amount
07NN,practice,1,1,4060,971,738,right-bottom,B_amount
07NN,practice,1,1,4077,973,739,right-bottom,B_amount
07NN,practice,1,1,4094,974,739,right-bottom,B_amount
07NN,practice,1,1,4110,975,740,right-bottom,B_amount
07NN,practice,1,1,4144,975,741,right-bottom,B_amount
07NN,practice,1,1,4160,976,741,right-bottom,B_amount
07NN,practice,1,1,4177,977,741,right-bottom,B_amount
07NN,practice,1,1,4194,986,741,right-bottom,B_amount
07NN,practice,1,1,4210,995,740,right-bottom,B_amount
07NN,practice,1,1,4227,1000,738,right-bottom,B_amount
07NN,practice,1,1,4243,1005,737,right-bottom,B_amount
07NN,practice,1,1,4260,1006,737,right-bottom,B_amount
07NN,practice,1,1,4284,1007,737,right-bottom,B_amount
07NN,practice,1,1,4326,1007,736,right-bottom,B_amount
07NN,practice,1,1,4383,1007,735,right-bottom,B_amount
07NN,practice,1,1,4453,1006,734,right-bottom,B_amount
07NN,practice,1,1,5068,1004,722,right-bottom,B_amount
07NN,practice,1,1,5076,1000,704,right-bottom,B_amount
07NN,practice,1,1,5082,996,688,right-bottom,B_amount
07NN,practice,1,1,5094,994,667,right-bottom,B_amount
07NN,practice,1,1,5110,984,600,none,none
07NN,practice,1,1,5127,978,559,none,none
07NN,practice,1,1,5143,974,516,none,none
07NN,practice,1,1,5160,973,458,none,none
07NN,practice,1,1,5177,973,432,none,none
07NN,practice,1,1,5194,975,414,none,none
07NN,practice,1,1,5211,976,393,right-top,B_prob
07NN,practice,1,1,5227,978,383,right-top,B_prob
07NN,practice,1,1,5244,979,373,right-top,B_prob
07NN,practice,1,1,5260,980,369,right-top,B_prob
07NN,practice,1,1,5277,982,361,right-top,B_prob
07NN,practice,1,1,5293,984,356,right-top,B_prob
07NN,practice,1,1,5310,986,351,right-top,B_prob
07NN,practice,1,1,5327,989,343,right-top,B_prob
07NN,practice,1,1,5343,990,339,right-top,B_prob
07NN,practice,1,1,5360,992,335,right-top,B_prob
07NN,practice,1,1,5377,992,333,right-top,B_prob
07NN,practice,1,1,5396,992,332,right-top,B_prob
07NN,practice,1,1,5509,992,333,right-top,B_prob
07NN,practice,1,1,5551,992,334,right-top,B_prob
07NN,practice,1,1,5571,992,335,right-top,B_prob
07NN,practice,1,1,5621,992,336,right-top,B_prob
07NN,practice,1,1,5873,992,337,right-top,B_prob
07NN,practice,1,1,5915,992,338,right-top,B_prob
07NN,practice,1,1,5922,992,339,right-top,B_prob
07NN,practice,1,1,5927,992,340,right-top,B_prob
07NN,practice,1,1,5941,992,343,right-top,B_prob
07NN,practice,1,1,5957,995,381,right-top,B_prob
07NN,practice,1,1,5974,995,473,none,none
07NN,practice,1,1,5990,995,530,none,none
07NN,practice,1,1,6007,992,606,none,none
07NN,practice,1,1,6024,992,647,right-bottom,B_amount
07NN,practice,1,1,6040,992,697,right-bottom,B_amount
07NN,practice,1,1,6057,992,722,right-bottom,B_amount
07NN,practice,1,1,6074,993,745,right-bottom,B_amount
07NN,practice,1,1,6091,994,764,right-bottom,B_amount
07NN,practice,1,1,6107,994,769,right-bottom,B_amount
07NN,practice,1,1,6124,994,772,right-bottom,B_amount
07NN,practice,1,1,6140,994,773,right-bottom,B_amount
07NN,practice,1,1,6447,993,773,right-bottom,B_amount
07NN,practice,1,1,6460,993,772,right-bottom,B_amount
07NN,practice,1,1,6817,954,772,right-bottom,B_amount
07NN,practice,1,1,6823,902,772,right-bottom,B_amount
07NN,practice,1,1,6830,856,770,none,none
07NN,practice,1,1,6837,817,768,none,none
07NN,practice,1,1,6851,753,765,none,none
07NN,practice,1,1,6868,725,762,none,none
07NN,practice,1,1,6885,704,757,none,none
07NN,practice,1,1,6901,684,751,none,none
07NN,practice,1,1,6918,678,749,none,none
07NN,practice,1,1,6935,672,747,none,none
07NN,practice,1,1,6951,667,745,none,none
07NN,practice,1,1,6969,664,745,left-bottom,A_amount
07NN,practice,1,1,6985,662,745,left-bottom,A_amount
07NN,practice,1,1,7001,659,745,left-bottom,A_amount
07NN,practice,1,1,7018,658,744,left-bottom,A_amount
07NN,practice,1,1,7035,656,744,left-bottom,A_amount
07NN,practice,1,1,7051,655,744,left-bottom,A_amount
07NN,practice,1,1,7068,654,744,left-bottom,A_amount
07NN,practice,1,1,7085,652,744,left-bottom,A_amount
07NN,practice,1,1,7101,650,744,left-bottom,A_amount
07NN,practice,1,1,7118,645,744,left-bottom,A_amount
07NN,practice,1,1,7135,644,744,left-bottom,A_amount
07NN,practice,1,1,7151,637,745,left-bottom,A_amount
07NN,practice,1,1,7168,631,747,left-bottom,A_amount
07NN,practice,1,1,7185,627,747,left-bottom,A_amount
07NN,practice,1,1,7201,622,747,left-bottom,A_amount
07NN,practice,1,1,7218,619,746,left-bottom,A_amount
07NN,practice,1,1,7234,617,745,left-bottom,A_amount
07NN,practice,1,1,7251,615,744,left-bottom,A_amount
07NN,practice,1,1,7271,614,743,left-bottom,A_amount
07NN,practice,1,1,7307,614,742,left-bottom,A_amount
07NN,practice,1,1,7320,615,742,left-bottom,A_amount
07NN,practice,1,1,7782,604,718,left-bottom,A_amount
07NN,practice,1,1,7789,587,674,left-bottom,A_amount
07NN,practice,1,1,7795,575,643,left-bottom,A_amount
07NN,practice,1,1,7802,566,623,left-bottom,A_amount
07NN,practice,1,1,7816,552,569,none,none
07NN,practice,1,1,7833,541,516,none,none
07NN,practice,1,1,7850,535,472,none,none
07NN,practice,1,1,7866,530,412,none,none
07NN,practice,1,1,7883,530,387,left-top,A_prob
07NN,practice,1,1,7900,530,359,left-top,A_prob
07NN,practice,1,1,7917,530,347,left-top,A_prob
07NN,practice,1,1,7933,530,339,left-top,A_prob
07NN,practice,1,1,7949,531,327,left-top,A_prob
07NN,practice,1,1,7966,531,321,left-top,A_prob
07NN,practice,1,1,7983,531,319,left-top,A_prob
07NN,practice,1,1,8000,531,318,left-top,A_prob
07NN,practice,1,1,8019,531,317,left-top,A_prob
07NN,practice,1,1,8174,531,318,left-top,A_prob
07NN,practice,1,1,8223,531,319,left-top,A_prob
07NN,practice,1,1,8404,531,320,left-top,A_prob
07NN,practice,1,1,8445,531,321,left-top,A_prob
07NN,practice,1,1,8516,531,322,left-top,A_prob
07NN,practice,1,1,8559,531,323,left-top,A_prob
07NN,practice,1,1,8581,532,323,left-top,A_prob
07NN,practice,1,1,8620,532,324,left-top,A_prob
07NN,practice,1,1,8634,533,324,left-top,A_prob
07NN,practice,1,1,8657,533,325,left-top,A_prob
07NN,practice,1,1,8670,534,326,left-top,A_prob
07NN,practice,1,1,8690,534,327,left-top,A_prob
07NN,practice,1,1,8697,535,327,left-top,A_prob
07NN,practice,1,1,8704,535,328,left-top,A_prob
07NN,practice,1,1,8720,536,331,left-top,A_prob
07NN,practice,1,1,8737,539,342,left-top,A_prob
07NN,practice,1,1,8753,545,383,left-top,A_prob
07NN,practice,1,1,8770,550,455,none,none
07NN,practice,1,1,8787,551,510,none,none
07NN,practice,1,1,8803,552,582,none,none
07NN,practice,1,1,8821,553,632,left-bottom,A_amount
07NN,practice,1,1,8837,554,666,left-bottom,A_amount
07NN,practice,1,1,8854,556,708,left-bottom,A_amount
07NN,practice,1,1,8871,557,727,left-bottom,A_amount
07NN,practice,1,1,8887,558,743,left-bottom,A_amount
07NN,practice,1,1,8903,560,752,left-bottom,A_amount
07NN,practice,1,1,8920,560,755,left-bottom,A_amount
07NN,practice,1,1,8937,560,759,left-bottom,A_amount
07NN,practice,1,1,8953,560,760,left-bottom,A_amount
07NN,practice,1,1,9027,560,759,left-bottom,A_amount
07NN,practice,1,1,9037,560,758,left-bottom,A_amount
07NN,practice,1,1,9053,557,743,left-bottom,A_amount
07NN,practice,1,1,9070,540,595,none,none
07NN,practice,1,1,9087,532,519,none,none
07NN,practice,1,1,9103,528,404,none,none
07NN,practice,1,1,9120,530,343,left-top,A_prob
07NN,practice,1,1,9137,531,307,left-top,A_prob
07NN,practice,1,1,9154,535,282,left-top,A_prob
07NN,practice,1,1,9170,535,279,left-top,A_prob
07NN,practice,1,1,9300,535,280,left-top,A_prob
07NN,practice,1,1,9342,536,281,left-top,A_prob
07NN,practice,1,1,9363,536,282,left-top,A_prob
07NN,practice,1,1,9377,537,282,left-top,A_prob
07NN,practice,1,1,9387,539,282,left-top,A_prob
07NN,practice,1,1,9403,553,283,left-top,A_prob
07NN,practice,1,1,9420,672,275,none,none
07NN,practice,1,1,9437,762,260,none,none
07NN,practice,1,1,9453,902,252,right-top,B_prob
07NN,practice,1,1,9470,965,255,right-top,B_prob
07NN,practice,1,1,9487,1011,258,right-top,B_prob
07NN,practice,1,1,9503,1049,260,right-top,B_prob
07NN,practice,1,1,9520,1059,260,none,none
07NN,practice,1,1,9537,1064,261,none,none
07NN,practice,1,1,9553,1066,261,none,none
07NN,practice,1,1,9601,1065,261,none,none
07NN,practice,1,1,9607,1065,262,none,none
07NN,practice,1,1,9621,1064,263,none,none
07NN,practice,1,1,9637,1063,264,none,none
07NN,practice,1,1,9654,1061,265,none,none
07NN,practice,1,1,9670,1055,269,right-top,B_prob
07NN,practice,1,1,9687,1049,272,right-top,B_prob
07NN,practice,1,1,9703,1044,274,right-top,B_prob
07NN,practice,1,1,9720,1038,277,right-top,B_prob
07NN,practice,1,1,9737,1034,278,right-top,B_prob
07NN,practice,1,1,9753,1028,280,right-top,B_prob
07NN,practice,1,1,9770,1016,284,right-top,B_prob
07NN,practice,1,1,9787,990,290,right-top,B_prob
07NN,practice,1,1,9803,907,311,right-top,B_prob
07NN,practice,1,1,9820,841,333,none,none
07NN,practice,1,1,9837,761,359,none,none
07NN,practice,1,1,9853,738,363,none,none
07NN,practice,1,1,9870,723,363,none,none
07NN,practice,1,1,9887,720,363,none,none
07NN,practice,1,1,9922,720,362,none,none
07NN,practice,1,1,9942,721,362,none,none
07NN,practice,1,1,9956,722,362,none,none
07NN,practice,1,1,9970,724,362,none,none
07NN,practice,1,1,9987,734,359,none,none
07NN,practice,1,1,10003,744,358,none,none
07NN,practice,1,1,10020,771,351,none,none
07NN,practice,1,1,10037,794,347,none,none
07NN,practice,1,1,10053,816,344,none,none
07NN,practice,1,1,10070,848,342,none,none
07NN,practice,1,1,10086,870,340,none,none
07NN,practice,1,1,10104,892,341,right-top,B_prob
07NN,practice,1,1,10120,926,342,right-top,B_prob
07NN,practice,1,1,10137,940,342,right-top,B_prob
07NN,practice,1,1,10153,958,343,right-top,B_prob
07NN,practice,1,1,10170,968,341,right-top,B_prob
07NN,practice,1,1,10187,973,340,right-top,B_prob
07NN,practice,1,1,10203,976,339,right-top,B_prob
07NN,practice,1,1,10220,977,339,right-top,B_prob
07NN,practice,1,1,10370,976,339,right-top,B_prob
07NN,practice,1,1,10384,975,339,right-top,B_prob
07NN,practice,1,1,10397,970,339,right-top,B_prob
07NN,practice,1,1,10405,956,340,right-top,B_prob
07NN,practice,1,1,10422,816,342,none,none
07NN,practice,1,1,10438,702,360,none,none
07NN,practice,1,1,10455,574,401,left-top,A_prob
07NN,practice,1,1,10472,525,407,none,none
07NN,practice,1,1,10488,499,409,none,none
07NN,practice,1,1,10505,492,408,none,none
07NN,practice,1,1,10522,490,408,none,none
07NN,practice,1,1,10587,491,408,none,none
07NN,practice,1,1,10593,491,407,none,none
07NN,practice,1,1,10621,492,407,none,none
07NN,practice,1,1,10635,493,406,none,none
07NN,practice,1,1,10642,494,406,none,none
07NN,practice,1,1,10655,495,406,none,none
07NN,practice,1,1,10672,497,405,none,none
07NN,practice,1,1,10689,498,405,none,none
07NN,practice,1,1,10705,499,404,none,none
07NN,practice,1,1,10722,500,404,none,none
07NN,practice,1,1,10738,502,404,none,none
07NN,practice,1,1,10755,503,403,none,none
07NN,practice,1,1,10771,505,401,none,none
07NN,practice,1,1,10788,511,397,none,none
07NN,practice,1,1,10805,529,375,left-top,A_prob
07NN,practice,1,1,10822,538,362,left-top,A_prob
07NN,practice,1,1,10838,544,351,left-top,A_prob
07NN,practice,1,1,10855,546,347,left-top,A_prob
07NN,practice,1,1,10872,547,346,left-top,A_prob
07NN,practice,1,1,10888,547,345,left-top,A_prob
07NN,practice,1,1,10905,548,343,left-top,A_prob
07NN,practice,1,1,10922,550,341,left-top,A_prob
07NN,practice,1,1,10938,552,338,left-top,A_prob
07NN,practice,1,1,10955,553,337,left-top,A_prob
07NN,practice,1,1,10971,553,336,left-top,A_prob
07NN,practice,1,1,10988,554,336,left-top,A_prob
07NN,practice,1,1,11042,554,337,left-top,A_prob
07NN,practice,1,1,11049,554,339,left-top,A_prob
07NN,practice,1,1,11056,554,342,left-top,A_prob
07NN,practice,1,1,11072,553,350,left-top,A_prob
07NN,practice,1,1,11088,553,365,left-top,A_prob
07NN,practice,1,1,11105,555,427,none,none
07NN,practice,1,1,11122,559,501,none,none
07NN,practice,1,1,11138,564,568,none,none
07NN,practice,1,1,11155,572,665,left-bottom,A_amount
07NN,practice,1,1,11172,575,716,left-bottom,A_amount
07NN,practice,1,1,11189,576,772,left-bottom,A_amount
07NN,practice,1,1,11205,578,800,left-bottom,A_amount
07NN,practice,1,1,11222,578,824,none,none
07NN,practice,1,1,11238,578,829,none,none
07NN,practice,1,1,11255,579,831,none,none
07NN,practice,1,1,11272,579,832,none,none
07NN,practice,1,1,11517,579,831,none,none
07NN,practice,1,1,11559,579,830,none,none
07NN,practice,1,1,11586,579,829,none,none
07NN,practice,1,1,11593,580,827,none,none
07NN,practice,1,1,11600,581,823,none,none
07NN,practice,1,1,11613,581,819,none,none
07NN,practice,1,1,11630,584,783,left-bottom,A_amount
07NN,practice,1,1,11647,582,753,left-bottom,A_amount
07NN,practice,1,1,11663,578,724,left-bottom,A_amount
07NN,practice,1,1,11680,576,719,left-bottom,A_amount
07NN,practice,1,1,11697,576,718,left-bottom,A_amount
07NN,practice,1,1,11713,576,717,left-bottom,A_amount
07NN,practice,1,1,11740,575,717,left-bottom,A_amount
07NN,practice,1,1,11881,574,717,left-bottom,A_amount
07NN,practice,1,1,12189,610,715,left-bottom,A_amount
07NN,practice,1,1,12195,648,715,left-bottom,A_amount
07NN,practice,1,1,12202,681,715,none,none
07NN,practice,1,1,12219,758,717,none,none
07NN,practice,1,1,12235,838,726,none,none
07NN,practice,1,1,12252,934,734,right-bottom,B_amount
07NN,practice,1,1,12269,977,734,right-bottom,B_amount
07NN,practice,1,1,12285,999,734,right-bottom,B_amount
07NN,practice,1,1,12302,1017,733,right-bottom,B_amount
07NN,practice,1,1,12319,1022,733,right-bottom,B_amount
07NN,practice,1,1,12336,1024,733,right-bottom,B_amount
07NN,practice,1,1,12735,1014,733,right-bottom,B_amount
07NN,practice,1,1,12740,987,727,right-bottom,B_amount
07NN,practice,1,1,12748,945,720,right-bottom,B_amount
07NN,practice,1,1,12755,916,717,right-bottom,B_amount
07NN,practice,1,1,12771,878,712,right-bottom,B_amount
07NN,practice,1,1,12789,846,710,none,none
07NN,practice,1,1,12805,780,714,none,none
07NN,practice,1,1,12822,723,720,none,none
07NN,practice,1,1,12838,681,728,none,none
07NN,practice,1,1,12855,631,737,left-bottom,A_amount
07NN,practice,1,1,12872,612,739,left-bottom,A_amount
07NN,practice,1,1,12888,593,739,left-bottom,A_amount
07NN,practice,1,1,12905,587,737,left-bottom,A_amount
07NN,practice,1,1,12922,582,734,left-bottom,A_amount
07NN,practice,1,1,12939,580,733,left-bottom,A_amount
07NN,practice,1,1,12955,579,732,left-bottom,A_amount
07NN,practice,1,1,12972,578,731,left-bottom,A_amount
07NN,practice,1,1,12989,577,730,left-bottom,A_amount
07NN,practice,1,1,13035,577,729,left-bottom,A_amount
07NN,practice,1,1,13056,577,728,left-bottom,A_amount
07NN,practice,1,1,13098,577,727,left-bottom,A_amount
07NN,practice,1,1,13118,577,726,left-bottom,A_amount
07NN,practice,1,1,13126,577,725,left-bottom,A_amount
07NN,practice,1,1,13136,577,722,left-bottom,A_amount
07NN,practice,1,1,13139,579,714,left-bottom,A_amount
07NN,practice,1,1,13155,584,679,left-bottom,A_amount
07NN,practice,1,1,13172,594,606,none,none
07NN,practice,1,1,13188,606,538,none,none
07NN,practice,1,1,13205,612,504,none,none
07NN,practice,1,1,13222,615,476,none,none
07NN,practice,1,1,13238,621,445,none,none
07NN,practice,1,1,13255,624,431,none,none
07NN,practice,1,1,13271,625,418,none,none
07NN,practice,1,1,13288,625,411,none,none
07NN,practice,1,1,13305,626,405,none,none
07NN,practice,1,1,13322,628,395,none,none
07NN,practice,1,1,13339,628,391,left-top,A_prob
07NN,practice,1,1,13355,628,387,left-top,A_prob
07NN,practice,1,1,13372,628,385,left-top,A_prob
07NN,practice,1,1,13388,628,383,left-top,A_prob
07NN,practice,1,1,13405,628,381,left-top,A_prob
07NN,practice,1,1,13422,628,380,left-top,A_prob
07NN,practice,1,1,13455,628,379,left-top,A_prob
07NN,practice,1,1,13461,627,379,left-top,A_prob
07NN,practice,1,1,13489,627,378,left-top,A_prob
07NN,practice,1,1,13505,626,377,left-top,A_prob
07NN,practice,1,1,13522,626,376,left-top,A_prob
07NN,practice,1,1,13538,626,374,left-top,A_prob
07NN,practice,1,1,13555,625,373,left-top,A_prob
07NN,practice,1,1,13572,625,372,left-top,A_prob
07NN,practice,1,1,13588,624,370,left-top,A_prob
07NN,practice,1,1,13605,624,369,left-top,A_prob
07NN,practice,1,1,13622,623,368,left-top,A_prob
07NN,practice,1,1,13639,623,367,left-top,A_prob
07NN,practice,1,1,13655,623,366,left-top,A_prob
07NN,practice,1,1,13839,623,367,left-top,A_prob
07NN,practice,1,1,13910,623,368,left-top,A_prob
07NN,practice,1,1,13958,623,369,left-top,A_prob
07NN,practice,1,1,13987,623,370,left-top,A_prob
07NN,practice,1,1,14000,623,371,left-top,A_prob
07NN,practice,1,1,14006,623,372,left-top,A_prob
07NN,practice,1,1,14014,623,374,left-top,A_prob
07NN,practice,1,1,14026,624,378,left-top,A_prob
07NN,practice,1,1,14043,626,398,none,none
07NN,practice,1,1,14059,627,422,none,none
07NN,practice,1,1,14076,628,472,none,none
07NN,practice,1,1,14092,628,501,none,none
07NN,practice,1,1,14109,628,527,none,none
07NN,practice,1,1,14126,628,549,none,none
07NN,practice,1,1,14143,627,570,none,none
07NN,practice,1,1,14160,627,580,none,none
07NN,practice,1,1,14176,627,589,none,none
07NN,practice,1,1,14193,627,594,none,none
07NN,practice,1,1,14209,628,601,none,none
07NN,practice,1,1,14226,628,605,none,none
07NN,practice,1,1,14243,628,609,none,none
07NN,practice,1,1,14259,628,615,none,none
07NN,practice,1,1,14276,628,619,none,none
07NN,practice,1,1,14293,628,624,none,none
07NN,practice,1,1,14309,627,629,none,none
07NN,practice,1,1,14326,627,634,none,none
07NN,practice,1,1,14343,626,641,left-bottom,A_amount
07NN,practice,1,1,14359,626,646,left-bottom,A_amount
07NN,practice,1,1,14376,625,650,left-bottom,A_amount
07NN,practice,1,1,14392,624,655,left-bottom,A_amount
07NN,practice,1,1,14409,624,657,left-bottom,A_amount
07NN,practice,1,1,14426,622,661,left-bottom,A_amount
07NN,practice,1,1,14443,622,664,left-bottom,A_amount
07NN,practice,1,1,14459,622,667,left-bottom,A_amount
07NN,practice,1,1,14476,620,671,left-bottom,A_amount
07NN,practice,1,1,14493,620,672,left-bottom,A_amount
07NN,practice,1,1,14509,620,674,left-bottom,A_amount
07NN,practice,1,1,14526,619,677,left-bottom,A_amount
07NN,practice,1,1,14543,618,678,left-bottom,A_amount
07NN,practice,1,1,14559,617,680,left-bottom,A_amount
07NN,practice,1,1,14576,617,681,left-bottom,A_amount
07NN,practice,1,1,14593,616,682,left-bottom,A_amount
07NN,practice,1,1,14621,616,683,left-bottom,A_amount
07NN,practice,1,1,14762,616,682,left-bottom,A_amount
07NN,practice,1,1,15511,613,679,left-bottom,A_amount
07NN,practice,1,1,15518,608,673,left-bottom,A_amount
07NN,practice,1,1,15528,597,660,left-bottom,A_amount
07NN,practice,1,1,15545,571,607,none,none
07NN,practice,1,1,15561,548,529,none,none
07NN,practice,1,1,15578,546,497,none,none
07NN,practice,1,1,15594,543,455,none,none
07NN,practice,1,1,15611,543,436,none,none
07NN,practice,1,1,15628,543,421,none,none
07NN,practice,1,1,15645,543,406,left-top,A_prob
07NN,practice,1,1,15661,543,400,left-top,A_prob
07NN,practice,1,1,15678,543,394,left-top,A_prob
07NN,practice,1,1,15695,543,385,left-top,A_prob
07NN,practice,1,1,15711,543,376,left-top,A_prob
07NN,practice,1,1,15727,543,363,left-top,A_prob
07NN,practice,1,1,15744,543,354,left-top,A_prob
07NN,practice,1,1,15761,543,340,left-top,A_prob
07NN,practice,1,1,15777,544,326,left-top,A_prob
07NN,practice,1,1,15794,544,322,left-top,A_prob
07NN,practice,1,1,15811,544,320,left-top,A_prob
07NN,practice,1,1,15840,544,319,left-top,A_prob
07NN,practice,1,1,15987,545,319,left-top,A_prob
07NN,practice,1,1,16105,546,319,left-top,A_prob
07NN,practice,1,1,16145,547,319,left-top,A_prob
07NN,practice,1,1,16175,548,319,left-top,A_prob
07NN,practice,1,1,16216,549,319,left-top,A_prob
07NN,practice,1,1,16330,549,320,left-top,A_prob
